geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	http://amigo.geneontology.org/amigo/term/GO:0098742	233	19	6.712777655597097	2.830422959735282	4.559454983762592e-5	0.026805895934341344	1002;1010;1012;2196;3557;5680;5818;6376;7216;7412;9071;9073;27253;56130;57575;64101;83872;91179;253559	CADM2;CDH12;CDH13;CDH4;CLDN10;CLDN8;CX3CL1;FAT2;HMCN1;IL1RN;LRRC4;NECTIN1;PCDH10;PCDH17;PCDHB6;PSG11;SCARF2;TRO;VCAM1
GO:0030198	extracellular matrix organization	http://amigo.geneontology.org/amigo/term/GO:0030198	296	22	8.527820541016055	2.5797916236847533	4.8189452828515234e-5	0.026805895934341344	165;1296;1545;2303;3037;3038;4312;4319;4325;4326;5212;5644;6939;7093;7133;10630;11005;55959;64093;64094;83872;169044	AEBP1;COL22A1;COL8A2;CYP1B1;FOXC2;HAS2;HAS3;HMCN1;MMP1;MMP10;MMP16;MMP17;PDPN;PRSS1;SMOC1;SMOC2;SPINK5;SULF2;TCF15;TLL2;TNFRSF1B;VIT
GO:0033993	response to lipid	http://amigo.geneontology.org/amigo/term/GO:0033993	769	42	22.155047283923466	1.8957305512264366	4.89872529657955e-5	0.026805895934341344	367;942;1066;1440;1545;1646;2706;2919;2920;3280;3283;3553;3557;3576;4129;4821;4842;4846;4923;5021;5142;5730;6337;6372;6376;6559;6590;6696;6781;7056;7133;7412;8284;8463;8626;9619;54658;55022;56300;57476;64170;84868	ABCG1;AKR1C2;AR;CARD9;CD86;CES1;CSF3;CX3CL1;CXCL1;CXCL2;CXCL6;CXCL8;CYP1B1;GJB2;GRAMD1B;HAVCR2;HES1;HSD3B1;IL1B;IL1RN;IL36G;KDM5D;MAOB;NKX2-2;NOS1;NOS3;NTSR1;OXTR;PDE4B;PID1;PTGDS;SCNN1A;SLC12A3;SLPI;SPP1;STC1;TEAD2;THBD;TNFRSF1B;TP63;UGT1A1;VCAM1
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	297	22	8.556630745546514	2.57110545660164	5.0689273129069975e-5	0.026805895934341344	165;1296;1545;2303;3037;3038;4312;4319;4325;4326;5212;5644;6939;7093;7133;10630;11005;55959;64093;64094;83872;169044	AEBP1;COL22A1;COL8A2;CYP1B1;FOXC2;HAS2;HAS3;HMCN1;MMP1;MMP10;MMP16;MMP17;PDPN;PRSS1;SMOC1;SMOC2;SPINK5;SULF2;TCF15;TLL2;TNFRSF1B;VIT
GO:0045229	external encapsulating structure organization	http://amigo.geneontology.org/amigo/term/GO:0045229	298	22	8.585440950076974	2.562477585941903	5.3304507063259196e-5	0.026805895934341344	165;1296;1545;2303;3037;3038;4312;4319;4325;4326;5212;5644;6939;7093;7133;10630;11005;55959;64093;64094;83872;169044	AEBP1;COL22A1;COL8A2;CYP1B1;FOXC2;HAS2;HAS3;HMCN1;MMP1;MMP10;MMP16;MMP17;PDPN;PRSS1;SMOC1;SMOC2;SPINK5;SULF2;TCF15;TLL2;TNFRSF1B;VIT
GO:0048858	cell projection morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048858	606	35	17.458983945458545	2.0046985614591994	7.182342644444288e-5	0.03411213737075234	547;575;577;658;1002;1272;3676;4684;4804;4897;4915;5454;5818;6616;6696;7345;9378;9638;10371;10439;10501;10509;10630;23105;23136;25830;26047;26053;55107;56978;59352;90249;219699;284656;374946	ADGRB1;ADGRB3;ANO1;AUTS2;BMPR1B;CDH4;CNTN1;CNTNAP2;DRAXIN;EPB41L3;EPHA10;FEZ1;FSTL4;ITGA4;KIF1A;LGR6;NCAM1;NECTIN1;NGFR;NRCAM;NRXN1;NTRK2;OLFM1;PDPN;POU3F2;PRDM8;SEMA3A;SEMA4B;SEMA6B;SNAP25;SPP1;SULT4A1;UCHL1;UNC5A;UNC5B
GO:0061564	axon development	http://amigo.geneontology.org/amigo/term/GO:0061564	464	29	13.367934902133275	2.1693702290076335	7.808908450341527e-5	0.0351359780747209	575;658;1002;1272;2281;3676;4684;4804;4897;4915;5454;5818;6616;6696;7345;9378;9638;10371;10439;10501;10509;23105;26053;56978;59352;90249;219699;284656;374946	ADGRB1;AUTS2;BMPR1B;CDH4;CNTN1;DRAXIN;EPHA10;FEZ1;FKBP1B;FSTL4;ITGA4;LGR6;NCAM1;NECTIN1;NGFR;NRCAM;NRXN1;NTRK2;OLFM1;POU3F2;PRDM8;SEMA3A;SEMA4B;SEMA6B;SNAP25;SPP1;UCHL1;UNC5A;UNC5B
GO:0006959	humoral immune response	http://amigo.geneontology.org/amigo/term/GO:0006959	147	14	4.2351000659775675	3.30570701563068	8.85623510835064e-5	0.03644374920104062	683;725;2919;2920;3553;3576;5266;5646;6372;6590;6700;11005;78989;84659	BST1;C4BPB;COLEC11;CXCL1;CXCL2;CXCL6;CXCL8;IL1B;PI3;PRSS3;RNASE7;SLPI;SPINK5;SPRR2A
GO:0001525	angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0001525	468	29	13.483175720255113	2.1508286031186796	9.08047784537152e-5	0.03644374920104062	182;575;577;1012;1296;1545;2303;2324;3553;3576;4804;4846;4879;4897;5228;6376;8091;9982;10411;11005;11082;28514;54922;64094;79812;90139;219699;221981;441478	ADGRB1;ADGRB3;CDH13;COL8A2;CX3CL1;CXCL8;CYP1B1;DLL1;ESM1;FGFBP1;FLT4;FOXC2;HMGA2;IL1B;JAG1;MMRN2;NGFR;NOS3;NPPB;NRARP;NRCAM;PGF;RAPGEF3;RASIP1;SMOC2;SPINK5;THSD7A;TSPAN18;UNC5B
GO:0002237	response to molecule of bacterial origin	http://amigo.geneontology.org/amigo/term/GO:0002237	288	21	8.297338904772378	2.530931933842239	9.378435868790428e-5	0.03644374920104062	942;1440;2706;2919;2920;3553;3576;4129;4842;4846;5142;6372;6376;6590;7056;7133;7412;54658;56300;64170;84868	CARD9;CD86;CSF3;CX3CL1;CXCL1;CXCL2;CXCL6;CXCL8;GJB2;HAVCR2;IL1B;IL36G;MAOB;NOS1;NOS3;PDE4B;SLPI;THBD;TNFRSF1B;UGT1A1;VCAM1
