NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_ABC_TRANSPORTERS	44	36		
KEGG_ACUTE_MYELOID_LEUKEMIA	57	54		
KEGG_ADHERENS_JUNCTION	73	71		
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	56		
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	32	26		
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	42	32		
KEGG_ALLOGRAFT_REJECTION	37	18		
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	19		Rejected!	
KEGG_ALZHEIMERS_DISEASE	167	142		
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	22		
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	44	37		
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	53	46		
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	50		
KEGG_APOPTOSIS	87	79		
KEGG_ARACHIDONIC_ACID_METABOLISM	58	38		
KEGG_ARGININE_AND_PROLINE_METABOLISM	54	46		
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	60		
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25		Rejected!	
KEGG_ASTHMA	30		Rejected!	
KEGG_AUTOIMMUNE_THYROID_DISEASE	52	18		
KEGG_AXON_GUIDANCE	129	121		
KEGG_BASAL_CELL_CARCINOMA	55	49		
KEGG_BASAL_TRANSCRIPTION_FACTORS	35	32		
KEGG_BASE_EXCISION_REPAIR	35	34		
KEGG_BETA_ALANINE_METABOLISM	22	18		
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	22	22		
KEGG_BLADDER_CANCER	42	42		
KEGG_BUTANOATE_METABOLISM	34	28		
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	75	68		
KEGG_CALCIUM_SIGNALING_PATHWAY	178	133		
KEGG_CARDIAC_MUSCLE_CONTRACTION	79	58		
KEGG_CELL_ADHESION_MOLECULES_CAMS	133	94		
KEGG_CELL_CYCLE	125	122		
KEGG_CHEMOKINE_SIGNALING_PATHWAY	188	133		
KEGG_CHRONIC_MYELOID_LEUKEMIA	73	72		
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13		Rejected!	
KEGG_CITRATE_CYCLE_TCA_CYCLE	32	29		
KEGG_COLORECTAL_CANCER	62	60		
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	69	41		
