NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION		127	-0.09263859	-1.1955051	0.24040404	0.49949116	1.0	8648	tags=45%, list=36%, signal=69%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY		66	-0.124879375	-1.1810176	0.26946107	0.5085671	1.0	3961	tags=29%, list=16%, signal=34%	
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER		28	-0.18437041	-1.1694522	0.2494577	0.51388144	1.0	15451	tags=82%, list=64%, signal=226%	
KEGG_TASTE_TRANSDUCTION	KEGG_TASTE_TRANSDUCTION		30	-0.17787229	-1.1600468	0.28313252	0.5159013	1.0	7816	tags=50%, list=32%, signal=74%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION		74	-0.11096178	-1.1236279	0.29607844	0.5650676	1.0	14683	tags=72%, list=61%, signal=181%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM		35	-0.1592005	-1.1223928	0.3030888	0.55202115	1.0	11386	tags=63%, list=47%, signal=118%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER		60	-0.12250245	-1.112188	0.31392932	0.556018	1.0	6736	tags=40%, list=28%, signal=55%	
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG_TYPE_II_DIABETES_MELLITUS		37	-0.15155435	-1.0905008	0.34131736	0.57961917	1.0	3540	tags=30%, list=15%, signal=35%	
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS		46	-0.13764521	-1.0902249	0.32426777	0.565556	1.0	5630	tags=37%, list=23%, signal=48%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM		46	-0.13462843	-1.0856984	0.33333334	0.5593603	1.0	5703	tags=37%, list=24%, signal=48%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION		86	-0.09833424	-1.0641472	0.374269	0.5854754	1.0	8056	tags=43%, list=33%, signal=64%	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION		52	-0.12168991	-1.0287364	0.41875	0.63842934	1.0	11044	tags=58%, list=46%, signal=106%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME		125	-0.08011476	-1.0268902	0.39562625	0.6272701	1.0	21149	tags=95%, list=87%, signal=742%	
KEGG_NOTCH_SIGNALING_PATHWAY	KEGG_NOTCH_SIGNALING_PATHWAY		44	-0.12797517	-1.0063329	0.4442231	0.6526488	1.0	4067	tags=30%, list=17%, signal=35%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE		23	-0.17034623	-0.9808943	0.47460938	0.6848867	1.0	7470	tags=48%, list=31%, signal=69%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA		65	-0.101767875	-0.9786033	0.47238097	0.67459923	1.0	6119	tags=35%, list=25%, signal=47%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS		127	-0.07452415	-0.97632366	0.48197344	0.66522837	1.0	14430	tags=67%, list=60%, signal=164%	
