NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_ABC_TRANSPORTERS	44	38		
KEGG_ACUTE_MYELOID_LEUKEMIA	57	52		
KEGG_ADHERENS_JUNCTION	73	70		
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	55		
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	32	26		
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	42	34		
KEGG_ALLOGRAFT_REJECTION	37	23		
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	19		Rejected!	
KEGG_ALZHEIMERS_DISEASE	167	144		
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	22		
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	44	38		
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	53	47		
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	54		
KEGG_APOPTOSIS	87	81		
KEGG_ARACHIDONIC_ACID_METABOLISM	58	38		
KEGG_ARGININE_AND_PROLINE_METABOLISM	54	48		
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	62		
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25		Rejected!	
KEGG_ASTHMA	30		Rejected!	
KEGG_AUTOIMMUNE_THYROID_DISEASE	52	23		
KEGG_AXON_GUIDANCE	129	121		
KEGG_BASAL_CELL_CARCINOMA	55	51		
KEGG_BASAL_TRANSCRIPTION_FACTORS	35	30		
KEGG_BASE_EXCISION_REPAIR	35	34		
KEGG_BETA_ALANINE_METABOLISM	22	19		
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	22	22		
KEGG_BLADDER_CANCER	42	42		
KEGG_BUTANOATE_METABOLISM	34	29		
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	75	69		
KEGG_CALCIUM_SIGNALING_PATHWAY	178	139		
KEGG_CARDIAC_MUSCLE_CONTRACTION	79	63		
KEGG_CELL_ADHESION_MOLECULES_CAMS	133	109		
KEGG_CELL_CYCLE	125	122		
KEGG_CHEMOKINE_SIGNALING_PATHWAY	188	141		
KEGG_CHRONIC_MYELOID_LEUKEMIA	73	71		
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13		Rejected!	
KEGG_CITRATE_CYCLE_TCA_CYCLE	32	29		
KEGG_COLORECTAL_CANCER	62	60		
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	69	44		
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	30		
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	264	167		
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	55	34		
KEGG_DILATED_CARDIOMYOPATHY	90	71		
KEGG_DNA_REPLICATION	36	36		
KEGG_DORSO_VENTRAL_AXIS_FORMATION	24	23		
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	72	38		
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	32		
KEGG_ECM_RECEPTOR_INTERACTION	84	75		
KEGG_ENDOCYTOSIS	181	175		
KEGG_ENDOMETRIAL_CANCER	52	49		
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	64		
KEGG_ERBB_SIGNALING_PATHWAY	87	84		
KEGG_ETHER_LIPID_METABOLISM	33	22		
KEGG_FATTY_ACID_METABOLISM	42	34		
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	79	60		
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	88		
KEGG_FOCAL_ADHESION	199	185		
KEGG_FOLATE_BIOSYNTHESIS	11		Rejected!	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	34	30		
KEGG_GALACTOSE_METABOLISM	26	20		
KEGG_GAP_JUNCTION	90	78		
KEGG_GLIOMA	65	62		
KEGG_GLUTATHIONE_METABOLISM	50	41		
KEGG_GLYCEROLIPID_METABOLISM	49	43		
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	77	65		
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	31	26		
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	46		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	22	21		
