NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION		42	0.15036169	1.1635699	0.26252505	0.49465892	1.0	8377	tags=60%, list=45%, signal=107%	
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM		63	0.11933666	1.1396285	0.28973842	0.52256984	1.0	5527	tags=41%, list=29%, signal=58%	
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM		47	0.14217266	1.1380116	0.28225806	0.5122114	1.0	8541	tags=60%, list=45%, signal=109%	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM		72	0.11590621	1.1374692	0.2935421	0.5002485	1.0	2008	tags=22%, list=11%, signal=25%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY		67	0.11195741	1.1194307	0.30192307	0.5182957	1.0	3517	tags=30%, list=19%, signal=37%	
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM		16	0.23012179	1.1047301	0.33202356	0.5307668	1.0	2729	tags=38%, list=15%, signal=44%	
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM		24	0.18858415	1.0967063	0.31578946	0.53123426	1.0	8216	tags=63%, list=44%, signal=111%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS		17	0.20839629	1.062271	0.37396693	0.58008313	1.0	13792	tags=94%, list=73%, signal=352%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM		96	0.09005119	1.0380803	0.39243028	0.6097825	1.0	16543	tags=97%, list=88%, signal=797%	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS		15	0.22437917	1.034404	0.38912135	0.60313106	1.0	14598	tags=100%, list=78%, signal=446%	
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY		133	0.07737299	1.0275431	0.40421054	0.6013117	1.0	14683	tags=86%, list=78%, signal=387%	
KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM		24	0.17045778	1.0185965	0.40442654	0.6043722	1.0	2284	tags=29%, list=12%, signal=33%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM		39	0.13442592	1.0073231	0.4302554	0.61214733	1.0	11950	tags=77%, list=64%, signal=210%	
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES		50	0.12032605	0.991485	0.44163424	0.628499	1.0	15806	tags=96%, list=84%, signal=598%	
KEGG_TASTE_TRANSDUCTION	KEGG_TASTE_TRANSDUCTION		44	0.12319506	0.9540425	0.47591522	0.6844791	1.0	12655	tags=80%, list=67%, signal=242%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM		30	0.14947842	0.95357513	0.5070707	0.67203885	1.0	12245	tags=80%, list=65%, signal=229%	
