userId	geneSymbol	geneName	entrezgene	gLink
USP32P1	USP32P1	ubiquitin specific peptidase 32 pseudogene 1	162632	https://www.ncbi.nlm.nih.gov/gene/?term=162632
USP9Y	USP9Y	ubiquitin specific peptidase 9 Y-linked	8287	https://www.ncbi.nlm.nih.gov/gene/?term=8287
UTY	UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked	7404	https://www.ncbi.nlm.nih.gov/gene/?term=7404
VCX3A	VCX3A	variable charge X-linked 3A	51481	https://www.ncbi.nlm.nih.gov/gene/?term=51481
VIT	VIT	vitrin	5212	https://www.ncbi.nlm.nih.gov/gene/?term=5212
VPS9D1	VPS9D1	VPS9 domain containing 1	9605	https://www.ncbi.nlm.nih.gov/gene/?term=9605
VPS9D1-AS1	VPS9D1-AS1	VPS9D1 antisense RNA 1	100128881	https://www.ncbi.nlm.nih.gov/gene/?term=100128881
VSNL1	VSNL1	visinin like 1	7447	https://www.ncbi.nlm.nih.gov/gene/?term=7447
WFDC2	WFDC2	WAP four-disulfide core domain 2	10406	https://www.ncbi.nlm.nih.gov/gene/?term=10406
WNT6	WNT6	Wnt family member 6	7475	https://www.ncbi.nlm.nih.gov/gene/?term=7475
XDH	XDH	xanthine dehydrogenase	7498	https://www.ncbi.nlm.nih.gov/gene/?term=7498
ZFHX4	ZFHX4	zinc finger homeobox 4	79776	https://www.ncbi.nlm.nih.gov/gene/?term=79776
ZFY	ZFY	zinc finger protein Y-linked	7544	https://www.ncbi.nlm.nih.gov/gene/?term=7544
ZNF114	ZNF114	zinc finger protein 114	163071	https://www.ncbi.nlm.nih.gov/gene/?term=163071
ZNF287	ZNF287	zinc finger protein 287	57336	https://www.ncbi.nlm.nih.gov/gene/?term=57336
ZNF354C	ZNF354C	zinc finger protein 354C	30832	https://www.ncbi.nlm.nih.gov/gene/?term=30832
ZNF423	ZNF423	zinc finger protein 423	23090	https://www.ncbi.nlm.nih.gov/gene/?term=23090
ZNF432	ZNF432	zinc finger protein 432	9668	https://www.ncbi.nlm.nih.gov/gene/?term=9668
ZNF502	ZNF502	zinc finger protein 502	91392	https://www.ncbi.nlm.nih.gov/gene/?term=91392
ZNF577	ZNF577	zinc finger protein 577	84765	https://www.ncbi.nlm.nih.gov/gene/?term=84765
ZNF579	ZNF579	zinc finger protein 579	163033	https://www.ncbi.nlm.nih.gov/gene/?term=163033
ZNF597	ZNF597	zinc finger protein 597	146434	https://www.ncbi.nlm.nih.gov/gene/?term=146434
ZNF660	ZNF660	zinc finger protein 660	285349	https://www.ncbi.nlm.nih.gov/gene/?term=285349
ZNF880	ZNF880	zinc finger protein 880	400713	https://www.ncbi.nlm.nih.gov/gene/?term=400713
